order_id,order_date,validation_time,validation_errors,inventory_time,stock_issues,payment_time,payment_issues,picking_time,picking_errors,qc_time,qc_rejects,shipping_time,total_cycle_time_minutes,total_errors,rework_required
ORD-1000,2024-01-01,23.8,0,32.9,0,43.3,0,67.6,0,19.1,0,7.5,194.2,1,0
ORD-1001,2024-01-02,23.3,0,33.4,0,54.1,0,62.3,0,12.8,0,11.2,197.1,1,0
ORD-1002,2024-01-03,27.0,0,50.7,0,45.6,0,53.1,0,23.7,0,7.7,207.8,0,0
ORD-1003,2024-01-04,36.2,0,60.0,0,41.6,0,61.8,0,31.1,0,20.5,251.2,1,0
ORD-1004,2024-01-05,29.5,0,16.8,0,5.7,0,44.1,0,13.6,0,19.4,129.1,1,0
ORD-1005,2024-01-06,14.0,0,26.2,0,55.3,0,58.7,0,19.3,0,17.0,190.5,0,0
ORD-1006,2024-01-07,18.6,0,44.0,0,49.5,0,45.7,0,13.6,0,20.9,192.3,0,0
ORD-1007,2024-01-08,19.1,0,33.1,0,33.4,0,58.4,0,29.5,0,11.6,185.1,0,0
ORD-1008,2024-01-09,32.6,0,17.7,0,45.5,0,59.6,0,17.8,0,18.6,191.8,0,0
ORD-1009,2024-01-10,27.2,0,48.7,0,61.1,0,37.9,0,22.4,0,17.1,214.4,1,0
ORD-1010,2024-01-11,24.8,0,22.3,0,32.7,0,46.4,0,23.8,0,15.0,165.0,0,0
ORD-1011,2024-01-12,25.6,0,11.2,0,50.1,0,63.7,0,16.0,0,8.9,175.5,0,0
ORD-1012,2024-01-13,17.6,0,27.4,0,44.8,0,77.8,0,29.9,0,12.3,209.8,0,0
ORD-1013,2024-01-14,25.9,0,24.1,0,42.6,0,65.2,0,31.2,0,15.2,204.2,0,0
ORD-1014,2024-01-15,21.2,0,34.7,0,24.7,0,30.5,0,15.3,0,14.8,141.2,0,0
ORD-1015,2024-01-16,11.5,0,29.9,0,44.5,0,54.9,0,19.4,0,15.9,176.1,0,0
ORD-1016,2024-01-17,25.4,0,43.9,0,39.5,0,52.0,0,18.5,0,5.9,185.2,1,0
ORD-1017,2024-01-18,31.3,0,44.8,0,33.8,0,50.7,0,25.1,0,11.2,196.9,0,0
ORD-1018,2024-01-19,23.1,0,23.2,0,38.1,0,39.7,0,26.2,0,11.8,162.1,0,0
ORD-1019,2024-01-20,26.5,0,36.0,0,26.1,0,47.0,0,31.0,0,15.4,182.0,0,0
ORD-1020,2024-01-21,26.8,0,36.2,0,36.3,0,73.9,0,18.6,0,20.7,212.5,1,0
ORD-1021,2024-01-22,22.2,0,10.5,0,35.1,0,48.8,0,12.9,0,15.9,145.4,0,0
ORD-1022,2024-01-23,21.0,0,25.6,0,19.6,0,74.0,0,29.6,0,17.4,187.2,0,0
ORD-1023,2024-01-24,19.0,0,41.3,0,52.3,0,44.6,0,22.8,0,20.1,200.1,0,0
ORD-1024,2024-01-25,23.9,0,44.0,0,59.4,0,46.0,0,25.7,0,10.2,209.2,0,0
ORD-1025,2024-01-26,42.9,0,29.7,0,50.3,0,46.2,0,15.2,0,15.3,199.6,0,0
ORD-1026,2024-01-27,25.3,0,35.7,0,18.5,0,81.1,0,21.3,1,11.0,289.4,1,1
ORD-1027,2024-01-28,28.8,0,43.3,0,64.4,0,50.4,0,8.8,0,12.8,208.5,0,0
ORD-1028,2024-01-29,16.8,0,27.8,0,50.3,0,46.6,0,22.8,0,14.5,178.8,0,0
ORD-1029,2024-01-30,15.1,0,24.9,0,45.7,0,64.1,0,24.1,0,12.6,186.5,1,0
ORD-1030,2024-01-01,18.9,0,26.5,0,29.2,0,44.0,0,24.3,0,13.7,156.6,0,0
ORD-1031,2024-01-02,24.6,0,41.3,0,34.9,0,39.2,0,34.8,1,9.9,277.1,0,1
ORD-1032,2024-01-03,17.5,0,24.3,0,60.1,0,68.1,0,16.3,0,14.9,201.2,0,0
ORD-1033,2024-01-04,30.6,0,27.1,0,60.6,0,83.5,0,17.2,0,8.4,227.4,1,0
ORD-1034,2024-01-05,20.0,0,21.7,0,51.4,0,51.5,0,24.0,0,12.3,180.9,0,0
ORD-1035,2024-01-06,23.5,0,51.2,0,43.0,0,43.1,0,16.4,0,12.1,189.3,0,0
ORD-1036,2024-01-07,37.8,0,22.0,0,58.2,0,65.4,0,19.9,0,15.4,218.7,0,0
ORD-1037,2024-01-08,29.6,0,46.0,0,39.7,0,32.8,0,32.9,0,22.8,203.8,0,0
