order_id,step_id,exception_code,exception_label,minutes_added,rework_flag
BL-10001,pack,damaged_carton,Damaged carton,12.7,0
BL-10001,stage_ship,missed_sla,Missed same-day dock,0.6,0
BL-10018,stage_ship,label_mismatch,Label mismatch,4.6,1
BL-10018,stage_ship,missed_sla,Missed same-day dock,0.8,0
BL-10019,qc,label_mismatch,Label mismatch,10.3,1
BL-10022,stage_ship,missed_sla,Missed same-day dock,21.8,0
BL-10027,pick,short_pick,Short pick / slot empty,12.0,1
BL-10031,qc,label_mismatch,Label mismatch,11.7,1
BL-10031,stage_ship,missed_sla,Missed same-day dock,45.4,0
BL-10033,pick,short_pick,Short pick / slot empty,4.0,1
BL-10033,stage_ship,missed_sla,Missed same-day dock,11.4,0
BL-10034,stage_ship,missed_sla,Missed same-day dock,4.8,0
BL-10035,slot_locate,label_mismatch,Label mismatch,14.2,1
BL-10036,stage_ship,missed_sla,Missed same-day dock,27.0,0
BL-10037,stage_ship,weight_fail,In-line weight fail,15.2,1
BL-10039,stage_ship,missed_sla,Missed same-day dock,59.7,0
BL-10042,stage_ship,missed_sla,Missed same-day dock,6.7,0
BL-10043,stage_ship,missed_sla,Missed same-day dock,0.4,0
BL-10045,stage_ship,missed_sla,Missed same-day dock,25.3,0
BL-10046,stage_ship,missed_sla,Missed same-day dock,16.7,0
BL-10047,wave_release,label_mismatch,Label mismatch,16.8,1
BL-10048,stage_ship,missed_sla,Missed same-day dock,15.3,0
BL-10049,pack,damaged_carton,Damaged carton,6.7,0
BL-10049,stage_ship,missed_sla,Missed same-day dock,9.3,0
BL-10051,stage_ship,missed_sla,Missed same-day dock,36.4,0
BL-10052,stage_ship,missed_sla,Missed same-day dock,10.7,0
BL-10053,stage_ship,missed_sla,Missed same-day dock,50.4,0
BL-10054,stage_ship,missed_sla,Missed same-day dock,13.3,0
BL-10056,pack,damaged_carton,Damaged carton,13.1,0
BL-10056,stage_ship,missed_sla,Missed same-day dock,8.6,0
BL-10059,qc,weight_fail,In-line weight fail,5.7,1
BL-10062,stage_ship,missed_sla,Missed same-day dock,23.5,0
BL-10064,pick,short_pick,Short pick / slot empty,12.8,1
BL-10064,stage_ship,missed_sla,Missed same-day dock,14.6,0
BL-10070,pick,short_pick,Short pick / slot empty,4.0,1
BL-10070,stage_ship,missed_sla,Missed same-day dock,36.9,0
BL-10072,qc,weight_fail,In-line weight fail,4.0,1
BL-10075,stage_ship,missed_sla,Missed same-day dock,2.9,0
BL-10077,qc,label_mismatch,Label mismatch,14.5,1
BL-10077,stage_ship,missed_sla,Missed same-day dock,2.8,0
BL-10082,pack,damaged_carton,Damaged carton,12.1,0
BL-10090,stage_ship,missed_sla,Missed same-day dock,8.1,0
BL-10092,slot_locate,label_mismatch,Label mismatch,15.8,1
BL-10092,stage_ship,missed_sla,Missed same-day dock,48.5,0
BL-10096,stage_ship,missed_sla,Missed same-day dock,4.5,0
BL-10098,stage_ship,missed_sla,Missed same-day dock,11.3,0
BL-10102,stage_ship,missed_sla,Missed same-day dock,13.1,0
BL-10103,pack,damaged_carton,Damaged carton,15.7,0
BL-10103,stage_ship,missed_sla,Missed same-day dock,12.4,0
BL-10104,qc,label_mismatch,Label mismatch,13.5,1
BL-10104,stage_ship,missed_sla,Missed same-day dock,11.4,0
BL-10105,stage_ship,missed_sla,Missed same-day dock,27.0,0
BL-10112,pick,short_pick,Short pick / slot empty,9.2,1
BL-10112,qc,weight_fail,In-line weight fail,7.7,1
BL-10112,stage_ship,missed_sla,Missed same-day dock,64.9,0
BL-10116,slot_locate,label_mismatch,Label mismatch,15.3,1
BL-10118,stage_ship,missed_sla,Missed same-day dock,41.9,0
BL-10121,pack,damaged_carton,Damaged carton,7.2,0
BL-10121,stage_ship,missed_sla,Missed same-day dock,23.3,0
BL-10123,stage_ship,missed_sla,Missed same-day dock,6.0,0
BL-10124,stage_ship,missed_sla,Missed same-day dock,13.1,0
BL-10128,pack,damaged_carton,Damaged carton,17.9,0
BL-10128,qc,label_mismatch,Label mismatch,8.7,1
BL-10128,stage_ship,missed_sla,Missed same-day dock,6.1,0
BL-10130,stage_ship,missed_sla,Missed same-day dock,3.2,0
BL-10131,qc,weight_fail,In-line weight fail,5.7,1
BL-10131,stage_ship,missed_sla,Missed same-day dock,5.2,0
BL-10132,stage_ship,missed_sla,Missed same-day dock,2.0,0
BL-10133,stage_ship,missed_sla,Missed same-day dock,3.2,0
BL-10137,qc,weight_fail,In-line weight fail,13.8,1
BL-10140,qc,weight_fail,In-line weight fail,11.8,1
BL-10141,stage_ship,missed_sla,Missed same-day dock,12.3,0
BL-10142,stage_ship,missed_sla,Missed same-day dock,58.8,0
BL-10143,pack,damaged_carton,Damaged carton,8.5,0
BL-10143,stage_ship,missed_sla,Missed same-day dock,27.0,0
BL-10144,stage_ship,missed_sla,Missed same-day dock,12.0,0
BL-10148,qc,label_mismatch,Label mismatch,12.3,1
BL-10151,stage_ship,missed_sla,Missed same-day dock,4.6,0
BL-10154,stage_ship,label_mismatch,Label mismatch,13.5,1
BL-10156,pick,short_pick,Short pick / slot empty,10.5,1
BL-10156,stage_ship,missed_sla,Missed same-day dock,22.1,0
BL-10157,pack,damaged_carton,Damaged carton,10.8,0
BL-10157,stage_ship,missed_sla,Missed same-day dock,35.0,0
BL-10159,stage_ship,missed_sla,Missed same-day dock,19.4,0
BL-10160,stage_ship,label_mismatch,Label mismatch,4.7,1
BL-10160,stage_ship,missed_sla,Missed same-day dock,29.5,0
BL-10161,stage_ship,missed_sla,Missed same-day dock,26.5,0
BL-10163,stage_ship,missed_sla,Missed same-day dock,19.2,0
BL-10164,stage_ship,missed_sla,Missed same-day dock,28.6,0
BL-10166,stage_ship,missed_sla,Missed same-day dock,69.7,0
BL-10167,qc,weight_fail,In-line weight fail,11.3,1
BL-10167,stage_ship,missed_sla,Missed same-day dock,15.4,0
BL-10169,stage_ship,missed_sla,Missed same-day dock,4.1,0
BL-10170,stage_ship,missed_sla,Missed same-day dock,40.9,0
BL-10171,stage_ship,missed_sla,Missed same-day dock,4.7,0
BL-10172,stage_ship,weight_fail,In-line weight fail,9.0,1
BL-10173,stage_ship,missed_sla,Missed same-day dock,18.9,0
BL-10176,stage_ship,missed_sla,Missed same-day dock,2.4,0
BL-10183,stage_ship,missed_sla,Missed same-day dock,6.9,0
BL-10184,pick,short_pick,Short pick / slot empty,11.2,1
BL-10184,stage_ship,missed_sla,Missed same-day dock,2.1,0
BL-10187,stage_ship,missed_sla,Missed same-day dock,29.4,0
BL-10188,wave_release,label_mismatch,Label mismatch,9.8,1
BL-10188,qc,weight_fail,In-line weight fail,11.8,1
BL-10188,stage_ship,missed_sla,Missed same-day dock,26.4,0
BL-10189,qc,label_mismatch,Label mismatch,5.7,1
BL-10190,stage_ship,missed_sla,Missed same-day dock,27.7,0
BL-10192,qc,weight_fail,In-line weight fail,8.3,1
BL-10192,stage_ship,missed_sla,Missed same-day dock,21.9,0
BL-10193,qc,weight_fail,In-line weight fail,4.0,1
BL-10194,stage_ship,missed_sla,Missed same-day dock,27.2,0
BL-10195,qc,label_mismatch,Label mismatch,15.4,1
BL-10195,stage_ship,missed_sla,Missed same-day dock,5.4,0
BL-10196,wave_release,label_mismatch,Label mismatch,10.8,1
BL-10197,pick,short_pick,Short pick / slot empty,7.4,1
BL-10198,stage_ship,missed_sla,Missed same-day dock,8.3,0
BL-10199,stage_ship,missed_sla,Missed same-day dock,14.1,0
BL-10200,stage_ship,missed_sla,Missed same-day dock,4.7,0
BL-10201,qc,weight_fail,In-line weight fail,5.4,1
