order_id,step_id,step_name,step_seq,started_at,ended_at,dwell_minutes
BL-10001,wave_release,Wave release,1,2025-01-06T06:44:22,2025-01-06T06:49:04,4.7
BL-10001,slot_locate,Slot locate,2,2025-01-06T06:49:04,2025-01-06T07:00:46,11.7
BL-10001,pick,Pick,3,2025-01-06T07:00:46,2025-01-06T07:52:40,51.9
BL-10001,pack,Pack,4,2025-01-06T07:52:40,2025-01-06T08:07:34,14.9
BL-10001,qc,QC gate,5,2025-01-06T08:20:16,2025-01-06T08:37:28,17.2
BL-10001,stage_ship,Stage & ship,6,2025-01-06T08:37:28,2025-01-06T08:44:58,7.5
BL-10002,wave_release,Wave release,1,2025-01-06T06:47:18,2025-01-06T06:53:12,5.9
BL-10002,slot_locate,Slot locate,2,2025-01-06T06:53:12,2025-01-06T07:01:06,7.9
BL-10002,pick,Pick,3,2025-01-06T07:01:06,2025-01-06T07:42:18,41.2
BL-10002,pack,Pack,4,2025-01-06T07:42:18,2025-01-06T07:55:54,13.6
BL-10002,qc,QC gate,5,2025-01-06T07:55:54,2025-01-06T08:11:30,15.6
BL-10002,stage_ship,Stage & ship,6,2025-01-06T08:11:30,2025-01-06T08:21:36,10.1
BL-10003,wave_release,Wave release,1,2025-01-06T06:20:39,2025-01-06T06:23:39,3.0
BL-10003,slot_locate,Slot locate,2,2025-01-06T06:23:39,2025-01-06T06:31:27,7.8
BL-10003,pick,Pick,3,2025-01-06T06:31:27,2025-01-06T07:06:57,35.5
BL-10003,pack,Pack,4,2025-01-06T07:06:57,2025-01-06T07:18:33,11.6
BL-10003,qc,QC gate,5,2025-01-06T07:18:33,2025-01-06T07:36:39,18.1
BL-10003,stage_ship,Stage & ship,6,2025-01-06T07:36:39,2025-01-06T07:42:27,5.8
BL-10004,wave_release,Wave release,1,2025-01-06T06:44:02,2025-01-06T06:47:32,3.5
BL-10004,slot_locate,Slot locate,2,2025-01-06T06:47:32,2025-01-06T06:55:08,7.6
BL-10004,pick,Pick,3,2025-01-06T06:55:08,2025-01-06T08:01:14,66.1
BL-10004,pack,Pack,4,2025-01-06T08:01:14,2025-01-06T08:16:38,15.4
BL-10004,qc,QC gate,5,2025-01-06T08:16:38,2025-01-06T08:29:14,12.6
BL-10004,stage_ship,Stage & ship,6,2025-01-06T08:29:14,2025-01-06T08:34:26,5.2
BL-10005,wave_release,Wave release,1,2025-01-06T06:23:05,2025-01-06T06:29:17,6.2
