order_id,facility_id,period,pilot_flag,dropped_at,promised_at,shift,channel,line_count,low_risk_flag,hazmat_flag,cycle_minutes,error_count,rework_flag,sla_miss_flag
BL-10001,AUS-01,baseline,0,2025-01-06T06:44:22,2025-01-06T08:44:22,Days,Marketplace,6,0,0,120.6,1,0,1
BL-10002,AUS-01,baseline,0,2025-01-06T06:47:18,2025-01-06T08:47:18,Days,Marketplace,3,0,0,94.3,0,0,0
BL-10003,AUS-01,baseline,0,2025-01-06T06:20:39,2025-01-06T08:20:39,Days,DTC web,1,1,0,81.8,0,0,0
BL-10004,AUS-01,baseline,0,2025-01-06T06:44:02,2025-01-06T08:44:02,Days,DTC web,7,0,0,110.4,0,0,0
BL-10005,AUS-01,baseline,0,2025-01-06T06:23:05,2025-01-06T08:23:05,Days,Store replen,2,0,0,76.3,0,0,0
BL-10006,AUS-01,baseline,0,2025-01-06T06:29:35,2025-01-06T08:29:35,Days,DTC web,3,0,0,72.4,0,0,0
BL-10007,AUS-01,baseline,0,2025-01-06T06:26:24,2025-01-06T08:26:24,Days,DTC web,6,0,0,100.5,0,0,0
BL-10008,AUS-01,baseline,0,2025-01-06T06:35:45,2025-01-06T08:35:45,Days,Marketplace,2,0,0,77.0,0,0,0
BL-10009,AUS-01,baseline,0,2025-01-06T14:40:37,2025-01-06T16:40:37,Swing,Marketplace,2,1,0,97.3,0,0,0
BL-10010,AUS-01,baseline,0,2025-01-06T14:50:06,2025-01-06T16:50:06,Swing,Marketplace,3,0,0,87.2,0,0,0
BL-10011,AUS-01,baseline,0,2025-01-06T14:14:31,2025-01-06T16:14:31,Swing,Store replen,1,0,0,67.5,0,0,0
BL-10012,AUS-01,baseline,0,2025-01-06T14:41:30,2025-01-06T16:41:30,Swing,DTC web,4,0,0,106.1,0,0,0
BL-10013,AUS-01,baseline,0,2025-01-06T14:33:07,2025-01-06T16:33:07,Swing,DTC web,1,1,0,101.5,0,0,0
BL-10014,AUS-01,baseline,0,2025-01-06T14:20:02,2025-01-06T16:20:02,Swing,Store replen,1,0,0,83.6,0,0,0
BL-10015,AUS-01,baseline,0,2025-01-06T22:27:23,2025-01-07T00:27:23,Night,DTC web,3,0,0,115.1,0,0,0
BL-10016,AUS-01,baseline,0,2025-01-06T22:15:36,2025-01-07T00:15:36,Night,Marketplace,2,1,0,77.9,0,0,0
